key,original,newExpr,A,test
"LinksGouldInvariant[2, 1, PrimeKnot[5, ""A"", 1]]",(3/x**2 + x**(-4))*(y**4 + y**(-4)) + (y**2 + y**(-2))*(-5/x - 6/x**3 - 1/x**5) + 3 + 10/x**2 + 4/x**4,-t0**3*t1**2 + t0**3*t1 - t0**2*t1**3 + 4*t0**2*t1**2 - 6*t0**2*t1 + 3*t0**2 + t0*t1**3 - 6*t0*t1**2 + 10*t0*t1 - 5*t0 + 3*t1**2 - 5*t1 + 3,"[[ 3 -5  3  0]
 [-5 10 -6  1]
 [ 3 -6  4 -1]
 [ 0  1 -1  0]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[5, ""A"", 2]]",(-1/x**3 - 1/x**5)*(y**6 + y**(-6)) + (x**(-2) + 2/x**4)*(y**4 + y**(-4)) + (y**2 + y**(-2))*(-1/x - 2/x**3 - 1/x**5) + 1 + 2/x**2 + (y**8 + y**(-8))/x**4 + 2/x**4,-t0**4*t1 + t0**4 - t0**3*t1**2 + 2*t0**3*t1 - t0**3 - t0**2*t1**3 + 2*t0**2*t1**2 - 2*t0**2*t1 + t0**2 - t0*t1**4 + 2*t0*t1**3 - 2*t0*t1**2 + 2*t0*t1 - t0 + t1**4 - t1**3 + t1**2 - t1 + 1,"[[ 1 -1  1 -1  1]
 [-1  2 -2  2 -1]
 [ 1 -2  2 -1  0]
 [-1  2 -1  0  0]
 [ 1 -1  0  0  0]]",0
