key,original,newExpr,A,test
"LinksGouldInvariant[2, 1, PrimeKnot[9, ""A"", 1]]",6*x**4 + 120*x**2 + y**12 + (-5*x - 5/x)*(y**10 + y**(-10)) + (y**2 + y**(-2))*(-35*x**3 - 192*x - 230/x - 77/x**3 - 4/x**5) + (y**4 + y**(-4))*(4*x**4 + 67*x**2 + 158 + 96/x**2 + 13/x**4) + (y**6 + y**(-6))*(-10*x**3 - 60*x - 67/x - 17/x**3) + (y**8 + y**(-8))*(10*x**2 + 27 + 12/x**2) + 287 + y**(-12) + 186/x**2 + 30/x**4,-4*t0**3*t1**2 + 13*t0**3*t1 - 17*t0**3 + 12*t0**3/t1 - 5*t0**3/t1**2 + t0**3/t1**3 - 4*t0**2*t1**3 + 30*t0**2*t1**2 - 77*t0**2*t1 + 96*t0**2 - 67*t0**2/t1 + 27*t0**2/t1**2 - 5*t0**2/t1**3 + 13*t0*t1**3 - 77*t0*t1**2 + 186*t0*t1 - 230*t0 + 158*t0/t1 - 60*t0/t1**2 + 10*t0/t1**3 - 17*t1**3 + 96*t1**2 - 230*t1 + 287 - 192/t1 + 67/t1**2 - 10/t1**3 + 12*t1**3/t0 - 67*t1**2/t0 + 158*t1/t0 - 192/t0 + 120/(t0*t1) - 35/(t0*t1**2) + 4/(t0*t1**3) - 5*t1**3/t0**2 + 27*t1**2/t0**2 - 60*t1/t0**2 + 67/t0**2 - 35/(t0**2*t1) + 6/(t0**2*t1**2) + t1**3/t0**3 - 5*t1**2/t0**3 + 10*t1/t0**3 - 10/t0**3 + 4/(t0**3*t1),"[[   0    0    4  -10   10   -5    1]
 [   0    6  -35   67  -60   27   -5]
 [   4  -35  120 -192  158  -67   12]
 [ -10   67 -192  287 -230   96  -17]
 [  10  -60  158 -230  186  -77   13]
 [  -5   27  -67   96  -77   30   -4]
 [   1   -5   12  -17   13   -4    0]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[9, ""A"", 2]]",34*x**4 + x**2*(y**12 + y**(-12)) + 142*x**2 + (-5*x**3 - 5*x)*(y**10 + y**(-10)) + (y**2 + y**(-2))*(-6*x**5 - 84*x**3 - 146*x - 81/x - 13/x**3) + (y**4 + y**(-4))*(29*x**4 + 101*x**2 + 81 + 19/x**2) + (y**6 + y**(-6))*(-4*x**5 - 43*x**3 - 57*x - 18/x) + (y**8 + y**(-8))*(8*x**4 + 25*x**2 + 12) + 143 + 50/x**2 + 4/x**4,4*t0**2*t1**2 - 13*t0**2*t1 + 19*t0**2 - 18*t0**2/t1 + 12*t0**2/t1**2 - 5*t0**2/t1**3 + t0**2/t1**4 - 13*t0*t1**2 + 50*t0*t1 - 81*t0 + 81*t0/t1 - 57*t0/t1**2 + 25*t0/t1**3 - 5*t0/t1**4 + 19*t1**2 - 81*t1 + 143 - 146/t1 + 101/t1**2 - 43/t1**3 + 8/t1**4 - 18*t1**2/t0 + 81*t1/t0 - 146/t0 + 142/(t0*t1) - 84/(t0*t1**2) + 29/(t0*t1**3) - 4/(t0*t1**4) + 12*t1**2/t0**2 - 57*t1/t0**2 + 101/t0**2 - 84/(t0**2*t1) + 34/(t0**2*t1**2) - 6/(t0**2*t1**3) - 5*t1**2/t0**3 + 25*t1/t0**3 - 43/t0**3 + 29/(t0**3*t1) - 6/(t0**3*t1**2) + t1**2/t0**4 - 5*t1/t0**4 + 8/t0**4 - 4/(t0**4*t1),"[[   0    0    0   -4    8   -5    1]
 [   0    0   -6   29  -43   25   -5]
 [   0   -6   34  -84  101  -57   12]
 [  -4   29  -84  142 -146   81  -18]
 [   8  -43  101 -146  143  -81   19]
 [  -5   25  -57   81  -81   50  -13]
 [   1   -5   12  -18   19  -13    4]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[9, ""A"", 3]]",28*x**4 + 144*x**2 + (x**2 + 3)*(y**8 + y**(-8)) + (y**2 + y**(-2))*(-4*x**5 - 57*x**3 - 161*x - 133/x - 25/x**3) + (y**4 + y**(-4))*(8*x**4 + 50*x**2 + 81 + 29/x**2) + (y**6 + y**(-6))*(-5*x**3 - 20*x - 15/x) + 221 + 96/x**2 + 8/x**4,8*t0**2*t1**2 - 25*t0**2*t1 + 29*t0**2 - 15*t0**2/t1 + 3*t0**2/t1**2 - 25*t0*t1**2 + 96*t0*t1 - 133*t0 + 81*t0/t1 - 20*t0/t1**2 + t0/t1**3 + 29*t1**2 - 133*t1 + 221 - 161/t1 + 50/t1**2 - 5/t1**3 - 15*t1**2/t0 + 81*t1/t0 - 161/t0 + 144/(t0*t1) - 57/(t0*t1**2) + 8/(t0*t1**3) + 3*t1**2/t0**2 - 20*t1/t0**2 + 50/t0**2 - 57/(t0**2*t1) + 28/(t0**2*t1**2) - 4/(t0**2*t1**3) + t1/t0**3 - 5/t0**3 + 8/(t0**3*t1) - 4/(t0**3*t1**2),"[[   0   -4    8   -5    1    0]
 [  -4   28  -57   50  -20    3]
 [   8  -57  144 -161   81  -15]
 [  -5   50 -161  221 -133   29]
 [   1  -20   81 -133   96  -25]
 [   0    3  -15   29  -25    8]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[9, ""A"", 4]]",10*x**2 + (6/x**2 + 3/x**4)*(y**8 + y**(-8)) + (y**2 + y**(-2))*(-32*x - 170/x - 204/x**3 - 70/x**5 - 4/x**7) + (y**4 + y**(-4))*(41 + 117/x**2 + 76/x**4 + 12/x**6) + (y**6 + y**(-6))*(-25/x - 36/x**3 - 11/x**5) + 119 + 268/x**2 + 170/x**4 + 28/x**6,-4*t0**4*t1**3 + 12*t0**4*t1**2 - 11*t0**4*t1 + 3*t0**4 - 4*t0**3*t1**4 + 28*t0**3*t1**3 - 70*t0**3*t1**2 + 76*t0**3*t1 - 36*t0**3 + 6*t0**3/t1 + 12*t0**2*t1**4 - 70*t0**2*t1**3 + 170*t0**2*t1**2 - 204*t0**2*t1 + 117*t0**2 - 25*t0**2/t1 - 11*t0*t1**4 + 76*t0*t1**3 - 204*t0*t1**2 + 268*t0*t1 - 170*t0 + 41*t0/t1 + 3*t1**4 - 36*t1**3 + 117*t1**2 - 170*t1 + 119 - 32/t1 + 6*t1**3/t0 - 25*t1**2/t0 + 41*t1/t0 - 32/t0 + 10/(t0*t1),"[[  10  -32   41  -25    6    0]
 [ -32  119 -170  117  -36    3]
 [  41 -170  268 -204   76  -11]
 [ -25  117 -204  170  -70   12]
 [   6  -36   76  -70   28   -4]
 [   0    3  -11   12   -4    0]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[9, ""A"", 5]]",30*x**2 + (-5/x - 5/x**3)*(y**10 + y**(-10)) + (y**2 + y**(-2))*(-4*x**3 - 73*x - 210/x - 172/x**3 - 31/x**5) + (y**4 + y**(-4))*(12*x**2 + 91 + 150/x**2 + 62/x**4 + 3/x**6) + (y**6 + y**(-6))*(-16*x - 66/x - 59/x**3 - 9/x**5) + (y**8 + y**(-8))*(12 + 27/x**2 + 10/x**4) + 171 + (y**12 + y**(-12))/x**2 + 254/x**2 + 104/x**4 + 6/x**6,3*t0**4*t1**2 - 9*t0**4*t1 + 10*t0**4 - 5*t0**4/t1 + t0**4/t1**2 + 6*t0**3*t1**3 - 31*t0**3*t1**2 + 62*t0**3*t1 - 59*t0**3 + 27*t0**3/t1 - 5*t0**3/t1**2 + 3*t0**2*t1**4 - 31*t0**2*t1**3 + 104*t0**2*t1**2 - 172*t0**2*t1 + 150*t0**2 - 66*t0**2/t1 + 12*t0**2/t1**2 - 9*t0*t1**4 + 62*t0*t1**3 - 172*t0*t1**2 + 254*t0*t1 - 210*t0 + 91*t0/t1 - 16*t0/t1**2 + 10*t1**4 - 59*t1**3 + 150*t1**2 - 210*t1 + 171 - 73/t1 + 12/t1**2 - 5*t1**4/t0 + 27*t1**3/t0 - 66*t1**2/t0 + 91*t1/t0 - 73/t0 + 30/(t0*t1) - 4/(t0*t1**2) + t1**4/t0**2 - 5*t1**3/t0**2 + 12*t1**2/t0**2 - 16*t1/t0**2 + 12/t0**2 - 4/(t0**2*t1),"[[   0   -4   12  -16   12   -5    1]
 [  -4   30  -73   91  -66   27   -5]
 [  12  -73  171 -210  150  -59   10]
 [ -16   91 -210  254 -172   62   -9]
 [  12  -66  150 -172  104  -31    3]
 [  -5   27  -59   62  -31    6    0]
 [   1   -5   10   -9    3    0    0]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[9, ""A"", 6]]",46*x**2 + (-6/x - 6/x**3)*(y**10 + y**(-10)) + (y**2 + y**(-2))*(-6*x**3 - 106*x - 284/x - 222/x**3 - 38/x**5) + (y**4 + y**(-4))*(17*x**2 + 124 + 199/x**2 + 83/x**4 + 5/x**6) + (y**6 + y**(-6))*(-21*x - 87/x - 80/x**3 - 14/x**5) + (y**8 + y**(-8))*(15 + 35/x**2 + 14/x**4) + 241 + (y**12 + y**(-12))/x**2 + 334/x**2 + 128/x**4 + 6/x**6,5*t0**4*t1**2 - 14*t0**4*t1 + 14*t0**4 - 6*t0**4/t1 + t0**4/t1**2 + 6*t0**3*t1**3 - 38*t0**3*t1**2 + 83*t0**3*t1 - 80*t0**3 + 35*t0**3/t1 - 6*t0**3/t1**2 + 5*t0**2*t1**4 - 38*t0**2*t1**3 + 128*t0**2*t1**2 - 222*t0**2*t1 + 199*t0**2 - 87*t0**2/t1 + 15*t0**2/t1**2 - 14*t0*t1**4 + 83*t0*t1**3 - 222*t0*t1**2 + 334*t0*t1 - 284*t0 + 124*t0/t1 - 21*t0/t1**2 + 14*t1**4 - 80*t1**3 + 199*t1**2 - 284*t1 + 241 - 106/t1 + 17/t1**2 - 6*t1**4/t0 + 35*t1**3/t0 - 87*t1**2/t0 + 124*t1/t0 - 106/t0 + 46/(t0*t1) - 6/(t0*t1**2) + t1**4/t0**2 - 6*t1**3/t0**2 + 15*t1**2/t0**2 - 21*t1/t0**2 + 17/t0**2 - 6/(t0**2*t1),"[[   0   -6   17  -21   15   -6    1]
 [  -6   46 -106  124  -87   35   -6]
 [  17 -106  241 -284  199  -80   14]
 [ -21  124 -284  334 -222   83  -14]
 [  15  -87  199 -222  128  -38    5]
 [  -6   35  -80   83  -38    6    0]
 [   1   -6   14  -14    5    0    0]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[9, ""A"", 7]]",4*x**4 + 82*x**2 + y**12 + (-5*x - 5/x)*(y**10 + y**(-10)) + (y**2 + y**(-2))*(-26*x**3 - 134*x - 156/x - 51/x**3 - 3/x**5) + (y**4 + y**(-4))*(4*x**4 + 53*x**2 + 117 + 67/x**2 + 9/x**4) + (y**6 + y**(-6))*(-10*x**3 - 51*x - 53/x - 12/x**3) + (y**8 + y**(-8))*(10*x**2 + 25 + 10/x**2) + 193 + y**(-12) + 122/x**2 + 20/x**4,-3*t0**3*t1**2 + 9*t0**3*t1 - 12*t0**3 + 10*t0**3/t1 - 5*t0**3/t1**2 + t0**3/t1**3 - 3*t0**2*t1**3 + 20*t0**2*t1**2 - 51*t0**2*t1 + 67*t0**2 - 53*t0**2/t1 + 25*t0**2/t1**2 - 5*t0**2/t1**3 + 9*t0*t1**3 - 51*t0*t1**2 + 122*t0*t1 - 156*t0 + 117*t0/t1 - 51*t0/t1**2 + 10*t0/t1**3 - 12*t1**3 + 67*t1**2 - 156*t1 + 193 - 134/t1 + 53/t1**2 - 10/t1**3 + 10*t1**3/t0 - 53*t1**2/t0 + 117*t1/t0 - 134/t0 + 82/(t0*t1) - 26/(t0*t1**2) + 4/(t0*t1**3) - 5*t1**3/t0**2 + 25*t1**2/t0**2 - 51*t1/t0**2 + 53/t0**2 - 26/(t0**2*t1) + 4/(t0**2*t1**2) + t1**3/t0**3 - 5*t1**2/t0**3 + 10*t1/t0**3 - 10/t0**3 + 4/(t0**3*t1),"[[   0    0    4  -10   10   -5    1]
 [   0    4  -26   53  -51   25   -5]
 [   4  -26   82 -134  117  -53   10]
 [ -10   53 -134  193 -156   67  -12]
 [  10  -51  117 -156  122  -51    9]
 [  -5   25  -53   67  -51   20   -3]
 [   1   -5   10  -12    9   -3    0]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[9, ""A"", 8]]",4*x**4 + 34*x**2 + (1 + 3/x**2)*(y**8 + y**(-8)) + (y**2 + y**(-2))*(-10*x**3 - 48*x - 89/x - 56/x**3 - 5/x**5) + (y**4 + y**(-4))*(10*x**2 + 37 + 48/x**2 + 13/x**4) + (y**6 + y**(-6))*(-5*x - 16/x - 11/x**3) + 91 + 100/x**2 + 28/x**4,-5*t0**3*t1**2 + 13*t0**3*t1 - 11*t0**3 + 3*t0**3/t1 - 5*t0**2*t1**3 + 28*t0**2*t1**2 - 56*t0**2*t1 + 48*t0**2 - 16*t0**2/t1 + t0**2/t1**2 + 13*t0*t1**3 - 56*t0*t1**2 + 100*t0*t1 - 89*t0 + 37*t0/t1 - 5*t0/t1**2 - 11*t1**3 + 48*t1**2 - 89*t1 + 91 - 48/t1 + 10/t1**2 + 3*t1**3/t0 - 16*t1**2/t0 + 37*t1/t0 - 48/t0 + 34/(t0*t1) - 10/(t0*t1**2) + t1**2/t0**2 - 5*t1/t0**2 + 10/t0**2 - 10/(t0**2*t1) + 4/(t0**2*t1**2),"[[  4 -10  10  -5   1   0]
 [-10  34 -48  37 -16   3]
 [ 10 -48  91 -89  48 -11]
 [ -5  37 -89 100 -56  13]
 [  1 -16  48 -56  28  -5]
 [  0   3 -11  13  -5   0]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[9, ""A"", 9]]",4*x**2 + (-5/x**3 - 5/x**5)*(y**10 + y**(-10)) + (y**2 + y**(-2))*(-12*x - 62/x - 101/x**3 - 55/x**5 - 4/x**7) + (y**4 + y**(-4))*(17 + 62/x**2 + 72/x**4 + 19/x**6) + (y**6 + y**(-6))*(-16/x - 46/x**3 - 33/x**5 - 3/x**7) + (y**8 + y**(-8))*(11/x**2 + 23/x**4 + 7/x**6) + 41 + 100/x**2 + (y**12 + y**(-12))/x**4 + 94/x**4 + 22/x**6,-3*t0**5*t1**2 + 7*t0**5*t1 - 5*t0**5 + t0**5/t1 - 4*t0**4*t1**3 + 19*t0**4*t1**2 - 33*t0**4*t1 + 23*t0**4 - 5*t0**4/t1 - 4*t0**3*t1**4 + 22*t0**3*t1**3 - 55*t0**3*t1**2 + 72*t0**3*t1 - 46*t0**3 + 11*t0**3/t1 - 3*t0**2*t1**5 + 19*t0**2*t1**4 - 55*t0**2*t1**3 + 94*t0**2*t1**2 - 101*t0**2*t1 + 62*t0**2 - 16*t0**2/t1 + 7*t0*t1**5 - 33*t0*t1**4 + 72*t0*t1**3 - 101*t0*t1**2 + 100*t0*t1 - 62*t0 + 17*t0/t1 - 5*t1**5 + 23*t1**4 - 46*t1**3 + 62*t1**2 - 62*t1 + 41 - 12/t1 + t1**5/t0 - 5*t1**4/t0 + 11*t1**3/t0 - 16*t1**2/t0 + 17*t1/t0 - 12/t0 + 4/(t0*t1),"[[   4  -12   17  -16   11   -5    1]
 [ -12   41  -62   62  -46   23   -5]
 [  17  -62  100 -101   72  -33    7]
 [ -16   62 -101   94  -55   19   -3]
 [  11  -46   72  -55   22   -4    0]
 [  -5   23  -33   19   -4    0    0]
 [   1   -5    7   -3    0    0    0]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[9, ""A"", 10]]",8*x**2 + (3/x**2 + x**(-4))*(y**8 + y**(-8)) + (y**2 + y**(-2))*(-24*x - 123/x - 143/x**3 - 47/x**5 - 3/x**7) + (y**4 + y**(-4))*(28 + 78/x**2 + 47/x**4 + 7/x**6) + (y**6 + y**(-6))*(-15/x - 20/x**3 - 5/x**5) + 89 + 196/x**2 + 120/x**4 + 20/x**6,-3*t0**4*t1**3 + 7*t0**4*t1**2 - 5*t0**4*t1 + t0**4 - 3*t0**3*t1**4 + 20*t0**3*t1**3 - 47*t0**3*t1**2 + 47*t0**3*t1 - 20*t0**3 + 3*t0**3/t1 + 7*t0**2*t1**4 - 47*t0**2*t1**3 + 120*t0**2*t1**2 - 143*t0**2*t1 + 78*t0**2 - 15*t0**2/t1 - 5*t0*t1**4 + 47*t0*t1**3 - 143*t0*t1**2 + 196*t0*t1 - 123*t0 + 28*t0/t1 + t1**4 - 20*t1**3 + 78*t1**2 - 123*t1 + 89 - 24/t1 + 3*t1**3/t0 - 15*t1**2/t0 + 28*t1/t0 - 24/t0 + 8/(t0*t1),"[[   8  -24   28  -15    3    0]
 [ -24   89 -123   78  -20    1]
 [  28 -123  196 -143   47   -5]
 [ -15   78 -143  120  -47    7]
 [   3  -20   47  -47   20   -3]
 [   0    1   -5    7   -3    0]]",0
