key,original,newExpr,A,test
"LinksGouldInvariant[2, 1, PrimeKnot[6, ""A"", 1]]",10*x**2 + y**8 + (-3*x - 3/x)*(y**6 + y**(-6)) + (y**2 + y**(-2))*(-2*x**3 - 16*x - 16/x - 2/x**3) + (y**4 + y**(-4))*(4*x**2 + 11 + 4/x**2) + 25 + y**(-8) + 10/x**2,-2*t0**2*t1 + 4*t0**2 - 3*t0**2/t1 + t0**2/t1**2 - 2*t0*t1**2 + 10*t0*t1 - 16*t0 + 11*t0/t1 - 3*t0/t1**2 + 4*t1**2 - 16*t1 + 25 - 16/t1 + 4/t1**2 - 3*t1**2/t0 + 11*t1/t0 - 16/t0 + 10/(t0*t1) - 2/(t0*t1**2) + t1**2/t0**2 - 3*t1/t0**2 + 4/t0**2 - 2/(t0**2*t1),"[[  0  -2   4  -3   1]
 [ -2  10 -16  11  -3]
 [  4 -16  25 -16   4]
 [ -3  11 -16  10  -2]
 [  1  -3   4  -2   0]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[6, ""A"", 2]]",2*x**4 + x**2*(y**8 + y**(-8)) + 14*x**2 + (-3*x**3 - 3*x)*(y**6 + y**(-6)) + (y**2 + y**(-2))*(-8*x**3 - 12*x - 4/x) + (y**4 + y**(-4))*(2*x**4 + 9*x**2 + 4) + 11 + 2/x**2,2*t0*t1 - 4*t0 + 4*t0/t1 - 3*t0/t1**2 + t0/t1**3 - 4*t1 + 11 - 12/t1 + 9/t1**2 - 3/t1**3 + 4*t1/t0 - 12/t0 + 14/(t0*t1) - 8/(t0*t1**2) + 2/(t0*t1**3) - 3*t1/t0**2 + 9/t0**2 - 8/(t0**2*t1) + 2/(t0**2*t1**2) + t1/t0**3 - 3/t0**3 + 2/(t0**3*t1),"[[  0   0   2  -3   1]
 [  0   2  -8   9  -3]
 [  2  -8  14 -12   4]
 [ -3   9 -12  11  -4]
 [  1  -3   4  -4   2]]",0
"LinksGouldInvariant[2, 1, PrimeKnot[6, ""A"", 3]]",4*x**2 + (3 + x**(-2))*(y**4 + y**(-4)) + (y**2 + y**(-2))*(-7*x - 10/x - 3/x**3) + 17 + 10/x**2 + 2/x**4,2*t0**2*t1**2 - 3*t0**2*t1 + t0**2 - 3*t0*t1**2 + 10*t0*t1 - 10*t0 + 3*t0/t1 + t1**2 - 10*t1 + 17 - 7/t1 + 3*t1/t0 - 7/t0 + 4/(t0*t1),"[[  4  -7   3   0]
 [ -7  17 -10   1]
 [  3 -10  10  -3]
 [  0   1  -3   2]]",0
