key,original,newExpr
"LinksGouldInvariant[2, 1, PrimeKnot[10, ""A"", 1]]",12*x**4 + 274*x**2 + y**12 + (-7*x - 7/x)*(y**10 + y**(-10)) + (y**2 + y**(-2))*(-76*x**3 - 453*x - 619/x - 274/x**3 - 32/x**5) + (y**4 + y**(-4))*(8*x**4 + 147*x**2 + 373 + 266/x**2 + 52/x**4) + (y**6 + y**(-6))*(-20*x**3 - 124*x - 149/x - 45/x**3) + (y**8 + y**(-8))*(18*x**2 + 48 + 23/x**2) + 725 + y**(-12) + 574/x**2 + 148/x**4 + 8/x**6,8*t0**3*t1**3 - 32*t0**3*t1**2 + 52*t0**3*t1 - 45*t0**3 + 23*t0**3/t1 - 7*t0**3/t1**2 + t0**3/t1**3 - 32*t0**2*t1**3 + 148*t0**2*t1**2 - 274*t0**2*t1 + 266*t0**2 - 149*t0**2/t1 + 48*t0**2/t1**2 - 7*t0**2/t1**3 + 52*t0*t1**3 - 274*t0*t1**2 + 574*t0*t1 - 619*t0 + 373*t0/t1 - 124*t0/t1**2 + 18*t0/t1**3 - 45*t1**3 + 266*t1**2 - 619*t1 + 725 - 453/t1 + 147/t1**2 - 20/t1**3 + 23*t1**3/t0 - 149*t1**2/t0 + 373*t1/t0 - 453/t0 + 274/(t0*t1) - 76/(t0*t1**2) + 8/(t0*t1**3) - 7*t1**3/t0**2 + 48*t1**2/t0**2 - 124*t1/t0**2 + 147/t0**2 - 76/(t0**2*t1) + 12/(t0**2*t1**2) + t1**3/t0**3 - 7*t1**2/t0**3 + 18*t1/t0**3 - 20/t0**3 + 8/(t0**3*t1)
"LinksGouldInvariant[2, 1, PrimeKnot[10, ""A"", 2]]",8*x**6 + 180*x**4 + x**2*(y**12 + y**(-12)) + 514*x**2 + (-7*x**3 - 7*x)*(y**10 + y**(-10)) + (y**2 + y**(-2))*(-51*x**5 - 322*x**3 - 466*x - 225/x - 30/x**3) + (y**4 + y**(-4))*(6*x**6 + 112*x**4 + 297*x**2 + 220 + 47/x**2) + (y**6 + y**(-6))*(-17*x**5 - 108*x**3 - 132*x - 41/x) + (y**8 + y**(-8))*(17*x**4 + 46*x**2 + 22) + 439 + 128/x**2 + 8/x**4,8*t0**2*t1**2 - 30*t0**2*t1 + 47*t0**2 - 41*t0**2/t1 + 22*t0**2/t1**2 - 7*t0**2/t1**3 + t0**2/t1**4 - 30*t0*t1**2 + 128*t0*t1 - 225*t0 + 220*t0/t1 - 132*t0/t1**2 + 46*t0/t1**3 - 7*t0/t1**4 + 47*t1**2 - 225*t1 + 439 - 466/t1 + 297/t1**2 - 108/t1**3 + 17/t1**4 - 41*t1**2/t0 + 220*t1/t0 - 466/t0 + 514/(t0*t1) - 322/(t0*t1**2) + 112/(t0*t1**3) - 17/(t0*t1**4) + 22*t1**2/t0**2 - 132*t1/t0**2 + 297/t0**2 - 322/(t0**2*t1) + 180/(t0**2*t1**2) - 51/(t0**2*t1**3) + 6/(t0**2*t1**4) - 7*t1**2/t0**3 + 46*t1/t0**3 - 108/t0**3 + 112/(t0**3*t1) - 51/(t0**3*t1**2) + 8/(t0**3*t1**3) + t1**2/t0**4 - 7*t1/t0**4 + 17/t0**4 - 17/(t0**4*t1) + 6/(t0**4*t1**2)
"LinksGouldInvariant[2, 1, PrimeKnot[10, ""A"", 3]]",68*x**2 + (-7/x - 7/x**3)*(y**10 + y**(-10)) + (y**2 + y**(-2))*(-8*x**3 - 170*x - 539/x - 511/x**3 - 140/x**5 - 6/x**7) + (y**4 + y**(-4))*(24*x**2 + 205 + 373/x**2 + 194/x**4 + 22/x**6) + (y**6 + y**(-6))*(-30*x - 136/x - 137/x**3 - 31/x**5) + (y**8 + y**(-8))*(20 + 48/x**2 + 21/x**4) + 429 + (y**12 + y**(-12))/x**2 + 712/x**2 + 372/x**4 + 48/x**6,-6*t0**4*t1**3 + 22*t0**4*t1**2 - 31*t0**4*t1 + 21*t0**4 - 7*t0**4/t1 + t0**4/t1**2 - 6*t0**3*t1**4 + 48*t0**3*t1**3 - 140*t0**3*t1**2 + 194*t0**3*t1 - 137*t0**3 + 48*t0**3/t1 - 7*t0**3/t1**2 + 22*t0**2*t1**4 - 140*t0**2*t1**3 + 372*t0**2*t1**2 - 511*t0**2*t1 + 373*t0**2 - 136*t0**2/t1 + 20*t0**2/t1**2 - 31*t0*t1**4 + 194*t0*t1**3 - 511*t0*t1**2 + 712*t0*t1 - 539*t0 + 205*t0/t1 - 30*t0/t1**2 + 21*t1**4 - 137*t1**3 + 373*t1**2 - 539*t1 + 429 - 170/t1 + 24/t1**2 - 7*t1**4/t0 + 48*t1**3/t0 - 136*t1**2/t0 + 205*t1/t0 - 170/t0 + 68/(t0*t1) - 8/(t0*t1**2) + t1**4/t0**2 - 7*t1**3/t0**2 + 20*t1**2/t0**2 - 30*t1/t0**2 + 24/t0**2 - 8/(t0**2*t1)
"LinksGouldInvariant[2, 1, PrimeKnot[10, ""A"", 4]]",6*x**2 + (3/x**4 + x**(-6))*(y**12 + y**(-12)) + (y**2 + y**(-2))*(-22*x - 176/x - 395/x**3 - 290/x**5 - 49/x**7) + (y**4 + y**(-4))*(39 + 204/x**2 + 294/x**4 + 119/x**6 + 6/x**8) + (y**6 + y**(-6))*(-44/x - 156/x**3 - 138/x**5 - 26/x**7) + (y**8 + y**(-8))*(33/x**2 + 75/x**4 + 35/x**6 + 2/x**8) + (y**10 + y**(-10))*(-15/x**3 - 18/x**5 - 3/x**7) + 93 + 344/x**2 + 430/x**4 + 162/x**6 + 8/x**8,2*t0**6*t1**2 - 3*t0**6*t1 + t0**6 + 6*t0**5*t1**3 - 26*t0**5*t1**2 + 35*t0**5*t1 - 18*t0**5 + 3*t0**5/t1 + 8*t0**4*t1**4 - 49*t0**4*t1**3 + 119*t0**4*t1**2 - 138*t0**4*t1 + 75*t0**4 - 15*t0**4/t1 + 6*t0**3*t1**5 - 49*t0**3*t1**4 + 162*t0**3*t1**3 - 290*t0**3*t1**2 + 294*t0**3*t1 - 156*t0**3 + 33*t0**3/t1 + 2*t0**2*t1**6 - 26*t0**2*t1**5 + 119*t0**2*t1**4 - 290*t0**2*t1**3 + 430*t0**2*t1**2 - 395*t0**2*t1 + 204*t0**2 - 44*t0**2/t1 - 3*t0*t1**6 + 35*t0*t1**5 - 138*t0*t1**4 + 294*t0*t1**3 - 395*t0*t1**2 + 344*t0*t1 - 176*t0 + 39*t0/t1 + t1**6 - 18*t1**5 + 75*t1**4 - 156*t1**3 + 204*t1**2 - 176*t1 + 93 - 22/t1 + 3*t1**5/t0 - 15*t1**4/t0 + 33*t1**3/t0 - 44*t1**2/t0 + 39*t1/t0 - 22/t0 + 6/(t0*t1)
"LinksGouldInvariant[2, 1, PrimeKnot[10, ""A"", 5]]",4*x**8 + 66*x**6 + 224*x**4 + 292*x**2 + (y**2 + y**(-2))*(-19*x**7 - 111*x**5 - 235*x**3 - 175*x - 32/x) + (y**4 + y**(-4))*(2*x**8 + 28*x**6 + 93*x**4 + 120*x**2 + 40) + (y**6 + y**(-6))*(-3*x**7 - 16*x**5 - 36*x**3 - 23*x) + (y**8 + y**(-8))*(x**6 + 3*x**4 + 5*x**2) + 121 + 10/x**2,10*t0*t1 - 32*t0 + 40*t0/t1 - 23*t0/t1**2 + 5*t0/t1**3 - 32*t1 + 121 - 175/t1 + 120/t1**2 - 36/t1**3 + 3/t1**4 + 40*t1/t0 - 175/t0 + 292/(t0*t1) - 235/(t0*t1**2) + 93/(t0*t1**3) - 16/(t0*t1**4) + 1/(t0*t1**5) - 23*t1/t0**2 + 120/t0**2 - 235/(t0**2*t1) + 224/(t0**2*t1**2) - 111/(t0**2*t1**3) + 28/(t0**2*t1**4) - 3/(t0**2*t1**5) + 5*t1/t0**3 - 36/t0**3 + 93/(t0**3*t1) - 111/(t0**3*t1**2) + 66/(t0**3*t1**3) - 19/(t0**3*t1**4) + 2/(t0**3*t1**5) + 3/t0**4 - 16/(t0**4*t1) + 28/(t0**4*t1**2) - 19/(t0**4*t1**3) + 4/(t0**4*t1**4) + 1/(t0**5*t1) - 3/(t0**5*t1**2) + 2/(t0**5*t1**3)
"LinksGouldInvariant[2, 1, PrimeKnot[10, ""A"", 6]]",48*x**2 + (3/x**2 + x**(-4))*(y**12 + y**(-12)) + (y**2 + y**(-2))*(-6*x**3 - 131*x - 443/x - 438/x**3 - 125/x**5 - 5/x**7) + (y**4 + y**(-4))*(21*x**2 + 182 + 345/x**2 + 191/x**4 + 25/x**6) + (y**6 + y**(-6))*(-32*x - 146/x - 156/x**3 - 44/x**5 - 2/x**7) + (y**8 + y**(-8))*(27 + 68/x**2 + 37/x**4 + 4/x**6) + (y**10 + y**(-10))*(-13/x - 16/x**3 - 3/x**5) + 331 + 580/x**2 + 314/x**4 + 40/x**6,-2*t0**5*t1**2 + 4*t0**5*t1 - 3*t0**5 + t0**5/t1 - 5*t0**4*t1**3 + 25*t0**4*t1**2 - 44*t0**4*t1 + 37*t0**4 - 16*t0**4/t1 + 3*t0**4/t1**2 - 5*t0**3*t1**4 + 40*t0**3*t1**3 - 125*t0**3*t1**2 + 191*t0**3*t1 - 156*t0**3 + 68*t0**3/t1 - 13*t0**3/t1**2 - 2*t0**2*t1**5 + 25*t0**2*t1**4 - 125*t0**2*t1**3 + 314*t0**2*t1**2 - 438*t0**2*t1 + 345*t0**2 - 146*t0**2/t1 + 27*t0**2/t1**2 + 4*t0*t1**5 - 44*t0*t1**4 + 191*t0*t1**3 - 438*t0*t1**2 + 580*t0*t1 - 443*t0 + 182*t0/t1 - 32*t0/t1**2 - 3*t1**5 + 37*t1**4 - 156*t1**3 + 345*t1**2 - 443*t1 + 331 - 131/t1 + 21/t1**2 + t1**5/t0 - 16*t1**4/t0 + 68*t1**3/t0 - 146*t1**2/t0 + 182*t1/t0 - 131/t0 + 48/(t0*t1) - 6/(t0*t1**2) + 3*t1**4/t0**2 - 13*t1**3/t0**2 + 27*t1**2/t0**2 - 32*t1/t0**2 + 21/t0**2 - 6/(t0**2*t1)
"LinksGouldInvariant[2, 1, PrimeKnot[10, ""A"", 7]]",56*x**4 + 408*x**2 + y**12 + (-8*x - 8/x)*(y**10 + y**(-10)) + (y**2 + y**(-2))*(-7*x**5 - 158*x**3 - 543*x - 543/x - 158/x**3 - 7/x**5) + (y**4 + y**(-4))*(25*x**4 + 213*x**2 + 396 + 213/x**2 + 25/x**4) + (y**6 + y**(-6))*(-35*x**3 - 152*x - 152/x - 35/x**3) + (y**8 + y**(-8))*(24*x**2 + 56 + 24/x**2) + 731 + y**(-12) + 408/x**2 + 56/x**4,-7*t0**3*t1**2 + 25*t0**3*t1 - 35*t0**3 + 24*t0**3/t1 - 8*t0**3/t1**2 + t0**3/t1**3 - 7*t0**2*t1**3 + 56*t0**2*t1**2 - 158*t0**2*t1 + 213*t0**2 - 152*t0**2/t1 + 56*t0**2/t1**2 - 8*t0**2/t1**3 + 25*t0*t1**3 - 158*t0*t1**2 + 408*t0*t1 - 543*t0 + 396*t0/t1 - 152*t0/t1**2 + 24*t0/t1**3 - 35*t1**3 + 213*t1**2 - 543*t1 + 731 - 543/t1 + 213/t1**2 - 35/t1**3 + 24*t1**3/t0 - 152*t1**2/t0 + 396*t1/t0 - 543/t0 + 408/(t0*t1) - 158/(t0*t1**2) + 25/(t0*t1**3) - 8*t1**3/t0**2 + 56*t1**2/t0**2 - 152*t1/t0**2 + 213/t0**2 - 158/(t0**2*t1) + 56/(t0**2*t1**2) - 7/(t0**2*t1**3) + t1**3/t0**3 - 8*t1**2/t0**3 + 24*t1/t0**3 - 35/t0**3 + 25/(t0**3*t1) - 7/(t0**3*t1**2)
"LinksGouldInvariant[2, 1, PrimeKnot[10, ""A"", 8]]",(6/x**6 + 3/x**8)*(y**12 + y**(-12)) + (y**2 + y**(-2))*(-25/x - 175/x**3 - 354/x**5 - 242/x**7 - 38/x**9) + (y**4 + y**(-4))*(45/x**2 + 203/x**4 + 268/x**6 + 100/x**8 + 5/x**10) + (y**6 + y**(-6))*(-52/x**3 - 163/x**5 - 134/x**7 - 23/x**9) + (y**8 + y**(-8))*(42/x**4 + 88/x**6 + 39/x**8 + 2/x**10) + (y**10 + y**(-10))*(-22/x**5 - 27/x**7 - 5/x**9) + 7 + 96/x**2 + 316/x**4 + 366/x**6 + 128/x**8 + 6/x**10,2*t0**7*t1**3 - 5*t0**7*t1**2 + 3*t0**7*t1 + 5*t0**6*t1**4 - 23*t0**6*t1**3 + 39*t0**6*t1**2 - 27*t0**6*t1 + 6*t0**6 + 6*t0**5*t1**5 - 38*t0**5*t1**4 + 100*t0**5*t1**3 - 134*t0**5*t1**2 + 88*t0**5*t1 - 22*t0**5 + 5*t0**4*t1**6 - 38*t0**4*t1**5 + 128*t0**4*t1**4 - 242*t0**4*t1**3 + 268*t0**4*t1**2 - 163*t0**4*t1 + 42*t0**4 + 2*t0**3*t1**7 - 23*t0**3*t1**6 + 100*t0**3*t1**5 - 242*t0**3*t1**4 + 366*t0**3*t1**3 - 354*t0**3*t1**2 + 203*t0**3*t1 - 52*t0**3 - 5*t0**2*t1**7 + 39*t0**2*t1**6 - 134*t0**2*t1**5 + 268*t0**2*t1**4 - 354*t0**2*t1**3 + 316*t0**2*t1**2 - 175*t0**2*t1 + 45*t0**2 + 3*t0*t1**7 - 27*t0*t1**6 + 88*t0*t1**5 - 163*t0*t1**4 + 203*t0*t1**3 - 175*t0*t1**2 + 96*t0*t1 - 25*t0 + 6*t1**6 - 22*t1**5 + 42*t1**4 - 52*t1**3 + 45*t1**2 - 25*t1 + 7
"LinksGouldInvariant[2, 1, PrimeKnot[10, ""A"", 9]]",(y**2 + y**(-2))*(-43/x - 239/x**3 - 326/x**5 - 151/x**7 - 21/x**9) + (y**4 + y**(-4))*(60/x**2 + 184/x**4 + 148/x**6 + 41/x**8 + 2/x**10) + (y**6 + y**(-6))*(-41/x**3 - 70/x**5 - 34/x**7 - 5/x**9) + (y**8 + y**(-8))*(12/x**4 + 10/x**6 + 3/x**8) + 13 + 158/x**2 + 388/x**4 + 298/x**6 + 80/x**8 + 4/x**10,2*t0**6*t1**4 - 5*t0**6*t1**3 + 3*t0**6*t1**2 + 4*t0**5*t1**5 - 21*t0**5*t1**4 + 41*t0**5*t1**3 - 34*t0**5*t1**2 + 10*t0**5*t1 + 2*t0**4*t1**6 - 21*t0**4*t1**5 + 80*t0**4*t1**4 - 151*t0**4*t1**3 + 148*t0**4*t1**2 - 70*t0**4*t1 + 12*t0**4 - 5*t0**3*t1**6 + 41*t0**3*t1**5 - 151*t0**3*t1**4 + 298*t0**3*t1**3 - 326*t0**3*t1**2 + 184*t0**3*t1 - 41*t0**3 + 3*t0**2*t1**6 - 34*t0**2*t1**5 + 148*t0**2*t1**4 - 326*t0**2*t1**3 + 388*t0**2*t1**2 - 239*t0**2*t1 + 60*t0**2 + 10*t0*t1**5 - 70*t0*t1**4 + 184*t0*t1**3 - 239*t0*t1**2 + 158*t0*t1 - 43*t0 + 12*t1**4 - 41*t1**3 + 60*t1**2 - 43*t1 + 13
"LinksGouldInvariant[2, 1, PrimeKnot[10, ""A"", 10]]",48*x**4 + 340*x**2 + y**12 + (-7*x - 7/x)*(y**10 + y**(-10)) + (y**2 + y**(-2))*(-6*x**5 - 131*x**3 - 448*x - 446/x - 129/x**3 - 6/x**5) + (y**4 + y**(-4))*(20*x**4 + 172*x**2 + 323 + 174/x**2 + 21/x**4) + (y**6 + y**(-6))*(-27*x**3 - 122*x - 124/x - 29/x**3) + (y**8 + y**(-8))*(19*x**2 + 46 + 20/x**2) + 605 + y**(-12) + 334/x**2 + 46/x**4,-6*t0**3*t1**2 + 21*t0**3*t1 - 29*t0**3 + 20*t0**3/t1 - 7*t0**3/t1**2 + t0**3/t1**3 - 6*t0**2*t1**3 + 46*t0**2*t1**2 - 129*t0**2*t1 + 174*t0**2 - 124*t0**2/t1 + 46*t0**2/t1**2 - 7*t0**2/t1**3 + 21*t0*t1**3 - 129*t0*t1**2 + 334*t0*t1 - 446*t0 + 323*t0/t1 - 122*t0/t1**2 + 19*t0/t1**3 - 29*t1**3 + 174*t1**2 - 446*t1 + 605 - 448/t1 + 172/t1**2 - 27/t1**3 + 20*t1**3/t0 - 124*t1**2/t0 + 323*t1/t0 - 448/t0 + 340/(t0*t1) - 131/(t0*t1**2) + 20/(t0*t1**3) - 7*t1**3/t0**2 + 46*t1**2/t0**2 - 122*t1/t0**2 + 172/t0**2 - 131/(t0**2*t1) + 48/(t0**2*t1**2) - 6/(t0**2*t1**3) + t1**3/t0**3 - 7*t1**2/t0**3 + 19*t1/t0**3 - 27/t0**3 + 20/(t0**3*t1) - 6/(t0**3*t1**2)
