key,original,newExpr
"LinksGouldInvariant[2, 1, PrimeKnot[7, ""A"", 1]]",24*x**2 + y**8 + (-5*x - 5/x)*(y**6 + y**(-6)) + (y**2 + y**(-2))*(-4*x**3 - 39*x - 46/x - 11/x**3) + (y**4 + y**(-4))*(8*x**2 + 24 + 11/x**2) + 67 + y**(-8) + 38/x**2 + 4/x**4,4*t0**2*t1**2 - 11*t0**2*t1 + 11*t0**2 - 5*t0**2/t1 + t0**2/t1**2 - 11*t0*t1**2 + 38*t0*t1 - 46*t0 + 24*t0/t1 - 5*t0/t1**2 + 11*t1**2 - 46*t1 + 67 - 39/t1 + 8/t1**2 - 5*t1**2/t0 + 24*t1/t0 - 39/t0 + 24/(t0*t1) - 4/(t0*t1**2) + t1**2/t0**2 - 5*t1/t0**2 + 8/t0**2 - 4/(t0**2*t1)
"LinksGouldInvariant[2, 1, PrimeKnot[7, ""A"", 2]]",4*x**2 + (-5/x - 5/x**3)*(y**6 + y**(-6)) + (y**2 + y**(-2))*(-10*x - 37/x - 30/x**3 - 3/x**5) + (y**4 + y**(-4))*(10 + 22/x**2 + 7/x**4) + 31 + (y**8 + y**(-8))/x**2 + 50/x**2 + 16/x**4,-3*t0**3*t1**2 + 7*t0**3*t1 - 5*t0**3 + t0**3/t1 - 3*t0**2*t1**3 + 16*t0**2*t1**2 - 30*t0**2*t1 + 22*t0**2 - 5*t0**2/t1 + 7*t0*t1**3 - 30*t0*t1**2 + 50*t0*t1 - 37*t0 + 10*t0/t1 - 5*t1**3 + 22*t1**2 - 37*t1 + 31 - 10/t1 + t1**3/t0 - 5*t1**2/t0 + 10*t1/t0 - 10/t0 + 4/(t0*t1)
"LinksGouldInvariant[2, 1, PrimeKnot[7, ""A"", 3]]",(3/x**4 + x**(-6))*(y**8 + y**(-8)) + (y**2 + y**(-2))*(-7/x - 26/x**3 - 21/x**5 - 2/x**7) + (y**4 + y**(-4))*(9/x**2 + 20/x**4 + 7/x**6) + (y**6 + y**(-6))*(-7/x**3 - 8/x**5 - 1/x**7) + 3 + 20/x**2 + 32/x**4 + 10/x**6,-t0**5*t1**2 + t0**5*t1 - 2*t0**4*t1**3 + 7*t0**4*t1**2 - 8*t0**4*t1 + 3*t0**4 - 2*t0**3*t1**4 + 10*t0**3*t1**3 - 21*t0**3*t1**2 + 20*t0**3*t1 - 7*t0**3 - t0**2*t1**5 + 7*t0**2*t1**4 - 21*t0**2*t1**3 + 32*t0**2*t1**2 - 26*t0**2*t1 + 9*t0**2 + t0*t1**5 - 8*t0*t1**4 + 20*t0*t1**3 - 26*t0*t1**2 + 20*t0*t1 - 7*t0 + 3*t1**4 - 7*t1**3 + 9*t1**2 - 7*t1 + 3
"LinksGouldInvariant[2, 1, PrimeKnot[7, ""A"", 4]]",(y**2 + y**(-2))*(-9/x - 14/x**3 - 6/x**5 - 1/x**7) + (y**4 + y**(-4))*(5/x**2 + 3/x**4 + x**(-6)) + 5 + 20/x**2 + 14/x**4 + 4/x**6,-t0**4*t1**3 + t0**4*t1**2 - t0**3*t1**4 + 4*t0**3*t1**3 - 6*t0**3*t1**2 + 3*t0**3*t1 + t0**2*t1**4 - 6*t0**2*t1**3 + 14*t0**2*t1**2 - 14*t0**2*t1 + 5*t0**2 + 3*t0*t1**3 - 14*t0*t1**2 + 20*t0*t1 - 9*t0 + 5*t1**2 - 9*t1 + 5
"LinksGouldInvariant[2, 1, PrimeKnot[7, ""A"", 5]]",(3/x**4 + x**(-6))*(y**8 + y**(-8)) + (y**2 + y**(-2))*(-5/x - 14/x**3 - 10/x**5 - 1/x**7) + (y**4 + y**(-4))*(5/x**2 + 12/x**4 + 4/x**6) + (y**6 + y**(-6))*(-5/x**3 - 6/x**5 - 1/x**7) + 3 + 12/x**2 + 16/x**4 + 4/x**6,-t0**5*t1**2 + t0**5*t1 - t0**4*t1**3 + 4*t0**4*t1**2 - 6*t0**4*t1 + 3*t0**4 - t0**3*t1**4 + 4*t0**3*t1**3 - 10*t0**3*t1**2 + 12*t0**3*t1 - 5*t0**3 - t0**2*t1**5 + 4*t0**2*t1**4 - 10*t0**2*t1**3 + 16*t0**2*t1**2 - 14*t0**2*t1 + 5*t0**2 + t0*t1**5 - 6*t0*t1**4 + 12*t0*t1**3 - 14*t0*t1**2 + 12*t0*t1 - 5*t0 + 3*t1**4 - 5*t1**3 + 5*t1**2 - 5*t1 + 3
"LinksGouldInvariant[2, 1, PrimeKnot[7, ""A"", 6]]",(y**2 + y**(-2))*(-17/x - 27/x**3 - 11/x**5 - 1/x**7) + (y**4 + y**(-4))*(9/x**2 + 6/x**4 + x**(-6)) + 9 + 38/x**2 + 28/x**4 + 6/x**6,-t0**4*t1**3 + t0**4*t1**2 - t0**3*t1**4 + 6*t0**3*t1**3 - 11*t0**3*t1**2 + 6*t0**3*t1 + t0**2*t1**4 - 11*t0**2*t1**3 + 28*t0**2*t1**2 - 27*t0**2*t1 + 9*t0**2 + 6*t0*t1**3 - 27*t0*t1**2 + 38*t0*t1 - 17*t0 + 9*t1**2 - 17*t1 + 9
"LinksGouldInvariant[2, 1, PrimeKnot[7, ""A"", 7]]",(-1/x**5 - 1/x**7)*(y**10 + y**(-10)) + (x**(-4) + 2/x**6)*(y**8 + y**(-8)) + (y**2 + y**(-2))*(-1/x - 2/x**3 - 2/x**5 - 1/x**7) + (y**4 + y**(-4))*(x**(-2) + 2/x**4 + 2/x**6) + (y**6 + y**(-6))*(-1/x**3 - 2/x**5 - 1/x**7) + 1 + 2/x**2 + 2/x**4 + (y**12 + y**(-12))/x**6 + 2/x**6,-t0**6*t1 + t0**6 - t0**5*t1**2 + 2*t0**5*t1 - t0**5 - t0**4*t1**3 + 2*t0**4*t1**2 - 2*t0**4*t1 + t0**4 - t0**3*t1**4 + 2*t0**3*t1**3 - 2*t0**3*t1**2 + 2*t0**3*t1 - t0**3 - t0**2*t1**5 + 2*t0**2*t1**4 - 2*t0**2*t1**3 + 2*t0**2*t1**2 - 2*t0**2*t1 + t0**2 - t0*t1**6 + 2*t0*t1**5 - 2*t0*t1**4 + 2*t0*t1**3 - 2*t0*t1**2 + 2*t0*t1 - t0 + t1**6 - t1**5 + t1**4 - t1**3 + t1**2 - t1 + 1
